rating,speaker,audio_id,set,vk,target,lang_source
8,CEB-19-2318,ceb_audio_05,set1,ak,knock,ceb
1,CEB-19-2318,ceb_audio_06,set1,ik,knock,ceb
1,CEB-19-2318,ceb_audio_07,set1,uk,knock,ceb
1,CEB-19-2318,ceb_audio_08,set1,ik,knock,ceb
2,CEB-19-2318,ceb_audio_09,set2,ak,knock,ceb
5,CEB-19-2318,ceb_audio_10,set2,ik,knock,ceb
10,CEB-19-2318,ceb_audio_11,set2,uk,knock,ceb
8,CEB-19-2318,ceb_audio_12,set2,uk,knock,ceb
1,CEB-19-2318,ceb_audio_13,set2,ak,knock,ceb
1,CEB-19-2318,ceb_audio_14,set2,ik,knock,ceb
10,CEB-19-2318,ceb_audio_15,set2,uk,knock,ceb
1,CEB-19-2318,ceb_audio_16,set2,ik,knock,ceb
1,CEB-19-2318,spn_audio_06,set3,ak,knock,spn
1,CEB-19-2318,spn_audio_07,set3,ek,knock,spn
1,CEB-19-2318,spn_audio_08,set3,ik,knock,spn
1,CEB-19-2318,spn_audio_09,set3,ok,knock,spn
1,CEB-19-2318,spn_audio_10,set3,uk,knock,spn
8,CEB-19-2318,spn_audio_11a,set3,ak,knock,spn
1,CEB-19-2318,spn_audio_15a,set3,uk,knock,spn
